Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
AssemblyPerformanceTest.GetModule_Fast,2.518501,1.041054,1.173504,1.150372,0.9443359,1.115234
AssemblyPerformanceTest.GetModule_Legacy,1.658394,1.641842,1.814995,1.692062,0.9008789,1.062012
AssemblyPerformanceTest.GetModules_Fast,1.413818,0.752758,0.8466721,0.8430367,0.6186523,0.7543945
AssemblyPerformanceTest.GetModules_Legacy,3.206284,2.806084,3.114971,2.787739,1.701172,1.944336
AssemblyPerformanceTest.GetType_Fast,2.53331,1.106564,1.230721,1.225506,0.9794922,1.199707
AssemblyPerformanceTest.GetType_Legacy,5.824799,5.696728,6.092102,6.254059,12.87646,15.98877
AssemblyPerformanceTest.GetTypes_Fast,1.448059,0.7578125,0.8484344,0.8414154,0.6171875,0.7529297
AssemblyPerformanceTest.GetTypes_Legacy,2139.237,2119.355,445.1292,463.7776,129.0776,154.4414
ConstructorInfoPerformanceTest.Invoke_Fast_Class,3.308716,2.234741,2.080688,1.72522,2.099609,1.982422
ConstructorInfoPerformanceTest.Invoke_Fast_Class_ArgDownCast,5.330933,2.1409,2.304306,1.73526,2.46875,2.375
ConstructorInfoPerformanceTest.Invoke_Fast_Class_ArgDownCastToStruct,11.26288,7.256989,7.328629,6.28096,4.267578,4.136719
ConstructorInfoPerformanceTest.Invoke_Fast_Class_ArgUpCast,2.946228,1.786743,1.695496,1.415237,1.728516,1.601563
ConstructorInfoPerformanceTest.Invoke_Fast_Class_ArgUpCastFromStruct,12.08182,6.968536,6.70784,6.228302,5.269531,5.216797
ConstructorInfoPerformanceTest.Invoke_Fast_Class_ResultUpCast,3.236786,2.536102,2.382507,1.716782,6.427734,6.388672
ConstructorInfoPerformanceTest.Invoke_Fast_Struct,3.192841,2.059662,1.914551,1.535507,1.162109,1.164063
ConstructorInfoPerformanceTest.Invoke_Fast_Struct_ArgDownCast,5.249176,2.181396,1.975266,1.87825,1.693359,1.695313
ConstructorInfoPerformanceTest.Invoke_Fast_Struct_ArgDownCastToStruct,12.50644,8.069427,7.550232,7.024307,3.625,3.777344
ConstructorInfoPerformanceTest.Invoke_Fast_Struct_ArgUpCast,2.857758,1.711761,1.536301,1.268295,0.9472656,1.001953
ConstructorInfoPerformanceTest.Invoke_Fast_Struct_ArgUpCastFromStruct,12.82773,7.765411,7.379715,6.246307,4.740234,4.832031
ConstructorInfoPerformanceTest.Invoke_Fast_Struct_ResultUpCast,13.29092,8.588684,8.097778,7.615097,5.648438,5.839844
ConstructorInfoPerformanceTest.Invoke_Legacy_Class,7.543762,6.826019,6.127686,5.612015,3.697266,3.574219
ConstructorInfoPerformanceTest.Invoke_Legacy_Struct,6.831635,5.935272,5.612595,5.317276,3.023438,2.929688
ConstructorInfoPerformanceTest.Invoke_LowAlloc_Class,11.90186,8.022827,7.659012,7.020721,5.806641,6.005859
ConstructorInfoPerformanceTest.Invoke_LowAlloc_Struct,10.06979,7.171722,6.79715,6.42601,5.117188,5.269531
ConstructorInfoPerformanceTest.Invoke_New_Class,1.927643,2.10376,1.929138,1.52681,1.919922,1.787109
ConstructorInfoPerformanceTest.Invoke_New_Struct,0.7764282,0.8187256,0.7492218,0.5962067,0.8398438,0.8105469
EnumPerformanceTest.EnumTo,1.650269,0.135498,0.1364594,0.1329956,0.5097656,0.4101563
EnumPerformanceTest.GetName_Fast,10.71509,1.892761,1.645645,1.835098,3.310547,2.851563
EnumPerformanceTest.GetName_Legacy,52.60852,22.91785,22.2137,23.50148,30.46875,26.87891
EnumPerformanceTest.GetNames_Fast,1.426575,0.1604004,0.1544495,0.1541748,0.2890625,0.265625
EnumPerformanceTest.GetNames_Legacy,17.82635,9.481628,10.51904,9.729675,8.513672,8.269531
EnumPerformanceTest.GetUnderlyingType_Fast,0.9650269,0.135437,0.136795,0.1548157,0.265625,0.2363281
EnumPerformanceTest.GetUnderlyingType_Legacy,10.25867,6.680786,6.594849,7.450623,6.324219,5.806641
EnumPerformanceTest.GetValues_Fast,1.059753,0.1354675,0.1764374,0.1535492,0.3105469,0.25
EnumPerformanceTest.GetValues_Legacy,129.6434,87.78052,102.9598,96.14128,72.44727,77.36133
EnumPerformanceTest.HasFlags_Legacy,0.4960938,0.116394,0.1154785,0.1537628,0.0859375,0.078125
EnumPerformanceTest.HasFlags_LowAlloc,29.61469,14.99295,14.45578,14.4445,15.45313,14.28516
EnumPerformanceTest.IsDefined_Fast,6.606445,1.208069,1.222488,1.362411,2.894531,2.544922
EnumPerformanceTest.IsDefined_Legacy,59.19977,31.88025,30.75447,33.619,38.52539,33.75195
EnumPerformanceTest.Parse_Fast,9.473816,2.73584,2.369034,2.620926,3.208984,2.810547
EnumPerformanceTest.Parse_Legacy,65.0166,26.48383,27.87547,30.0217,21.33008,19.125
EnumPerformanceTest.ToEnum,1.57135,0.1559753,0.1368713,0.1766205,0.4667969,0.4707031
EnumPerformanceTest.ToObject,13.38287,10.4035,10.10085,10.5116,7.826172,6.833984
FieldInfoPerformanceTest.GetClassInstanceValue_Fast,1.111389,0.244751,0.218338,0.2425385,0.3261719,0.2871094
FieldInfoPerformanceTest.GetClassInstanceValue_Fast_DownCast,2.852417,1.3927,1.412247,1.57373,0.9726563,0.9433594
FieldInfoPerformanceTest.GetClassInstanceValue_Fast_DownCastToStruct,2.766907,1.383331,1.420975,1.556564,0.9492188,0.890625
FieldInfoPerformanceTest.GetClassInstanceValue_Fast_UpCast,1.074707,0.2579956,0.2355957,0.3625183,0.3261719,0.2871094
FieldInfoPerformanceTest.GetClassInstanceValue_Fast_UpCastFromStruct,3.211731,1.62146,1.620605,1.732895,1.277344,1.115234
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer,0.09667969,0.01348877,0.0166626,0.0181427,0.01757813,0.015625
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer_DownCast,2.047363,1.234161,1.252228,1.405975,0.7421875,0.6757813
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer_DownCastToStruct,2.002197,1.234955,1.242737,1.397263,0.6933594,0.6484375
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer_UpCast,0.09674072,0.01351929,0.01817322,0.01826477,0.02148438,0.01171875
FieldInfoPerformanceTest.GetClassInstanceValue_FieldPointer_UpCastFromStruct,2.436401,1.43866,1.45282,1.551956,1.011719,0.8808594
FieldInfoPerformanceTest.GetClassInstanceValue_Legacy,1.816406,1.412811,1.403564,1.511978,0.921875,0.7910156
FieldInfoPerformanceTest.GetClassInstanceValue_LowAlloc,2.221191,1.490631,1.460098,1.564987,0.9609375,0.8476563
FieldInfoPerformanceTest.GetStaticValue_Fast,1.114014,0.2361145,0.2137909,0.2355499,0.3222656,0.2871094
FieldInfoPerformanceTest.GetStaticValue_Fast_DownCast,2.977112,1.179535,1.216507,1.3302,0.6757813,0.7324219
FieldInfoPerformanceTest.GetStaticValue_Fast_DownCastToStruct,2.757935,1.169281,1.166321,1.315765,0.6777344,0.640625
FieldInfoPerformanceTest.GetStaticValue_Fast_UpCast,1.141663,0.2536011,0.2317505,0.2516479,0.3242188,0.2929688
FieldInfoPerformanceTest.GetStaticValue_Fast_UpCastFromStruct,3.288452,1.39209,1.39505,1.486023,0.9511719,0.8574219
